fused,gyro,mag
-0.046005,-0.068473,0.045834
-0.049329,-0.068501,-0.210859
-0.052587,-0.068529,-0.210859
-0.05457,-0.068557,-0.15037
-0.056513,-0.068585,-0.15037
-0.05313,-0.067221,0.045834
-0.052542,-0.06864,0.045834
-0.049238,-0.067277,0.045834
-0.052201,-0.067305,-0.19603
-0.055105,-0.067333,-0.19603
-0.053113,-0.06736,0.045834
-0.055086,-0.067388,-0.15037
-0.054317,-0.067416,-0.015283
-0.053705,-0.068835,0.045834
-0.057029,-0.070254,-0.15037
-0.053635,-0.068891,0.045834
-0.051673,-0.068919,0.045834
-0.053224,-0.067555,-0.19603
-0.053856,-0.068974,-0.015283
-0.057023,-0.069002,-0.210859
-0.060281,-0.070421,-0.15037
-0.064683,-0.07184,-0.210859
-0.063427,-0.071868,-0.000489
-0.061269,-0.071896,0.045834
-0.065651,-0.073315,-0.210859
-0.063152,-0.073343,0.060669
-0.064924,-0.073371,-0.15037
-0.06787,-0.073399,-0.210859
-0.068209,-0.074818,-0.015283
-0.069582,-0.074846,-0.135501
-0.068523,-0.074873,-0.015283
-0.066263,-0.074901,0.045834
-0.064522,-0.07632,0.090325
-0.062343,-0.076348,0.045834
-0.060065,-0.074985,-0.015283
-0.057974,-0.075013,0.045834
-0.062423,-0.076432,-0.210859
-0.060285,-0.07646,0.045834
-0.059412,-0.076487,-0.015283
-0.060961,-0.076515,-0.135501
-0.062623,-0.075152,-0.210859
-0.062744,-0.073788,-0.135501
-0.063161,-0.072425,-0.15037
-0.06223,-0.072453,-0.015283
-0.061163,-0.073872,0.060669
-0.062975,-0.0739,-0.15037
-0.060685,-0.072536,-0.015283
-0.05844,-0.071173,-0.015283
-0.056241,-0.069809,-0.015283
-0.059514,-0.071228,-0.15037
-0.057138,-0.071256,0.060669
-0.057692,-0.072675,-0.015283
-0.060936,-0.074094,-0.15037
-0.060191,-0.075514,0.045834
-0.05932,-0.075541,-0.015283
-0.061169,-0.075569,-0.15037
-0.059056,-0.075597,0.045834
-0.062119,-0.075625,-0.210859
-0.059987,-0.075653,0.045834
-0.060188,-0.077072,-0.000489
-0.057798,-0.0771,0.060669
-0.055753,-0.077127,0.045834
-0.053607,-0.075764,-0.015283
-0.051209,-0.074401,-0.000489
-0.053219,-0.074428,-0.15037
-0.05519,-0.074456,-0.15037
-0.05833,-0.074484,-0.210859
-0.060198,-0.074512,-0.15037
-0.060666,-0.073148,-0.15037
-0.061149,-0.074567,-0.015283
-0.061597,-0.073204,-0.15037
-0.064609,-0.073232,-0.210859
-0.063354,-0.07326,-0.000489
-0.066035,-0.073287,-0.19603
-0.063825,-0.073315,0.045834
-0.062881,-0.073343,-0.015283
-0.061661,-0.073371,-0.000489
-0.062124,-0.07479,-0.015283
-0.061059,-0.076209,0.060669
-0.058652,-0.076237,0.060669
-0.057812,-0.076265,-0.015283
-0.056988,-0.076293,-0.015283
-0.053596,-0.074929,0.045834
-0.051634,-0.074957,0.045834
-0.054846,-0.074985,-0.210859
-0.054082,-0.075013,-0.015283
-0.051674,-0.073649,-0.000489
-0.056248,-0.075068,-0.210859
