x,y,z
-0.028788,0.434848,-1.080303
-0.016667,0.372727,-1.059091
-0.010606,0.343939,-1.043939
0.0,0.289394,-1.010606
0.006061,0.265152,-0.990909
0.012121,0.224242,-0.95303
0.015152,0.206061,-0.931818
0.019697,0.177273,-0.889394
0.021212,0.165152,-0.869697
0.025758,0.148485,-0.834848
0.028788,0.139394,-0.816667
0.031818,0.124242,-0.777273
0.030303,0.118182,-0.756061
0.024242,0.109091,-0.719697
0.019697,0.107576,-0.706061
0.007576,0.10303,-0.692424
0.001515,0.101515,-0.686364
-0.013636,0.101515,-0.677273
-0.021212,0.101515,-0.672727
-0.030303,0.1,-0.668182
-0.034848,0.1,-0.672727
-0.036364,0.101515,-0.693939
-0.036364,0.104545,-0.706061
-0.022727,0.106061,-0.730303
-0.007576,0.109091,-0.743939
0.031818,0.122727,-0.768182
0.056061,0.128788,-0.778788
0.098485,0.151515,-0.801515
0.116667,0.160606,-0.812121
0.148485,0.184848,-0.824242
0.165152,0.193939,-0.824242
0.193939,0.213636,-0.819697
0.207576,0.222727,-0.816667
0.231818,0.245455,-0.807576
0.243939,0.256061,-0.80303
0.266667,0.286364,-0.795455
0.274242,0.298485,-0.792424
0.289394,0.324242,-0.786364
0.295455,0.342424,-0.783333
0.310606,0.387879,-0.771212
0.315152,0.415152,-0.763636
0.322727,0.475758,-0.737879
0.321212,0.507576,-0.719697
0.312121,0.572727,-0.678788
0.30303,0.604545,-0.654545
0.275758,0.666667,-0.607576
0.256061,0.69697,-0.586364
0.213636,0.751515,-0.545455
0.187879,0.775758,-0.525758
0.136364,0.819697,-0.495455
0.107576,0.839394,-0.484848
0.05303,0.875758,-0.471212
0.025758,0.892424,-0.469697
-0.027273,0.924242,-0.477273
-0.05303,0.937879,-0.486364
-0.10303,0.963636,-0.509091
-0.122727,0.974242,-0.522727
-0.157576,0.989394,-0.559091
-0.172727,0.993939,-0.580303
-0.198485,1.00303,-0.633333
-0.207576,1.004545,-0.663636
-0.219697,0.998485,-0.730303
-0.224242,0.990909,-0.762121
-0.228788,0.968182,-0.834848
-0.233333,0.95303,-0.869697
-0.243939,0.912121,-0.931818
-0.248485,0.887879,-0.963636
-0.256061,0.827273,-1.016667
-0.260606,0.795455,-1.039394
-0.266667,0.724242,-1.074242
-0.268182,0.686364,-1.084849
-0.274242,0.615152,-1.095455
-0.277273,0.583333,-1.095455
-0.275758,0.515152,-1.090909
-0.272727,0.481818,-1.083333
-0.269697,0.430303,-1.068182
-0.265152,0.407576,-1.059091
-0.25,0.375758,-1.048485
-0.234848,0.360606,-1.045455
-0.189394,0.337879,-1.042424
-0.163636,0.327273,-1.042424
-0.110606,0.307576,-1.036364
-0.083333,0.298485,-1.030303
-0.028788,0.283333,-1.016667
-0.001515,0.275758,-1.004545
0.05303,0.260606,-0.977273
0.080303,0.25,-0.957576
0.125758,0.228788,-0.910606
0.145455,0.218182,-0.883333
0.177273,0.198485,-0.824242
0.187879,0.189394,-0.793939
0.204545,0.180303,-0.742424
0.213636,0.183333,-0.724242
0.237879,0.2,-0.707576
0.25,0.212121,-0.698485
0.272727,0.234848,-0.668182
0.281818,0.243939,-0.640909
0.292424,0.266667,-0.586364
0.293939,0.275758,-0.562121
0.29697,0.295455,-0.528788
0.29697,0.301515,-0.515152
0.290909,0.306061,-0.492424
0.287879,0.307576,-0.481818
0.287879,0.327273,-0.466667
0.292424,0.340909,-0.462121
0.29697,0.377273,-0.45303
0.29697,0.395455,-0.448485
0.295455,0.434848,-0.433333
0.287879,0.463636,-0.422727
0.268182,0.536364,-0.398485
0.248485,0.577273,-0.387879
0.2,0.65303,-0.363636
0.166667,0.690909,-0.351515
0.093939,0.757576,-0.330303
0.054545,0.783333,-0.327273
-0.025758,0.834848,-0.321212
-0.065152,0.856061,-0.325758
-0.145455,0.893939,-0.339394
-0.181818,0.907576,-0.35
-0.25303,0.931818,-0.378788
-0.289394,0.942424,-0.4
-0.351515,0.959091,-0.45303
-0.380303,0.966667,-0.489394
-0.430303,0.971212,-0.566667
-0.45,0.966667,-0.606061
-0.480303,0.95303,-0.681818
-0.489394,0.940909,-0.715151
-0.501515,0.910606,-0.784849
-0.504545,0.892424,-0.815152
-0.506061,0.85303,-0.869697
-0.504545,0.831818,-0.892424
-0.498485,0.792424,-0.930303
-0.495455,0.772727,-0.943939
-0.486364,0.727273,-0.971212
-0.481818,0.701515,-0.983333
-0.468182,0.654545,-1.001515
-0.463636,0.633333,-1.006061
-0.44697,0.590909,-1.015152
-0.431818,0.572727,-1.024242
-0.387879,0.539394,-1.048485
-0.357576,0.519697,-1.062121
-0.289394,0.481818,-1.081818
-0.256061,0.465152,-1.086364
-0.187879,0.437879,-1.093939
-0.154545,0.422727,-1.090909
-0.077273,0.395455,-1.080303
-0.034848,0.381818,-1.071212
0.05,0.360606,-1.039394
0.092424,0.351515,-0.990909
0.166667,0.334848,-0.960606
0.19697,0.325758,-0.892424
0.248485,0.304545,-0.856061
0.263636,0.29697,-0.786364
0.284848,0.284848,-0.757576
0.290909,0.287879,-0.722727
0.3,0.290909,-0.713636
0.30303,0.309091,-0.7
0.313636,0.312121,-0.687879
0.318182,0.325758,-0.651515
0.322727,0.328788,-0.628788
0.322727,0.337879,-0.590909
0.324242,0.342424,-0.577273
0.325758,0.356061,-0.565152
0.325758,0.360606,-0.559091
0.324242,0.371212,-0.543939
0.324242,0.381818,-0.533333
0.321212,0.415152,-0.504545
0.315152,0.439394,-0.484848
0.295455,0.506061,-0.442424
0.278788,0.539394,-0.419697
0.231818,0.607576,-0.378788
0.20303,0.640909,-0.359091
0.137879,0.7,-0.327273
0.104545,0.725758,-0.315152
0.034848,0.778788,-0.30303
0.0,0.801515,-0.30303
-0.081818,0.854545,-0.310606
-0.127273,0.874242,-0.321212
-0.221212,0.919697,-0.359091
-0.266667,0.933333,-0.383333
-0.354545,0.960606,-0.448485
-0.389394,0.963636,-0.487879
-0.451515,0.966667,-0.581818
-0.475758,0.954545,-0.631818
-0.522727,0.913636,-0.734848
-0.539394,0.880303,-0.778788
-0.557576,0.795455,-0.848485
-0.562121,0.745455,-0.875758
-0.554545,0.637879,-0.907576
-0.54697,0.584848,-0.913636
-0.525758,0.490909,-0.898485
-0.516667,0.451515,-0.883333
-0.498485,0.395455,-0.85303
-0.492424,0.374242,-0.834848
-0.477273,0.342424,-0.804545
-0.471212,0.327273,-0.795455
-0.457576,0.307576,-0.781818
-0.451515,0.301515,-0.783333
-0.436364,0.293939,-0.798485
-0.427273,0.289394,-0.810606
-0.410606,0.287879,-0.837879
-0.40303,0.287879,-0.85303
-0.378788,0.293939,-0.890909
-0.366667,0.295455,-0.912121
-0.331818,0.313636,-0.959091
-0.307576,0.319697,-0.984848
-0.248485,0.343939,-1.031818
-0.216667,0.357576,-1.05303
-0.140909,0.389394,-1.080303
-0.1,0.40303,-1.087879
-0.021212,0.437879,-1.086364
0.016667,0.459091,-1.078788
0.077273,0.510606,-1.057576
0.09697,0.540909,-1.043939
0.128788,0.593939,-1.010606
0.14697,0.616667,-0.986364
0.178788,0.666667,-0.924242
0.187879,0.692424,-0.890909
0.186364,0.740909,-0.828788
0.181818,0.762121,-0.801515
0.175758,0.787879,-0.75303
0.174242,0.8,-0.727273
0.15303,0.828788,-0.677273
0.133333,0.845455,-0.657576
0.086364,0.884848,-0.619697
0.057576,0.904545,-0.607576
-0.00303,0.937879,-0.584848
-0.031818,0.95303,-0.580303
-0.095455,0.977273,-0.581818
-0.128788,0.986364,-0.586364
-0.195455,1.00303,-0.606061
-0.227273,1.007576,-0.619697
-0.290909,1.009091,-0.651515
-0.319697,1.006061,-0.671212
-0.369697,0.992424,-0.716667
-0.392424,0.981818,-0.745455
-0.428788,0.945455,-0.806061
-0.440909,0.924242,-0.839394
-0.451515,0.872727,-0.904545
-0.448485,0.840909,-0.934848
-0.433333,0.777273,-0.989394
-0.421212,0.739394,-1.012121
-0.395455,0.648485,-1.048485
-0.380303,0.59697,-1.057576
-0.345455,0.492424,-1.059091
-0.324242,0.437879,-1.05
-0.283333,0.345455,-1.016667
-0.262121,0.30303,-0.993939
-0.228788,0.234848,-0.937879
-0.216667,0.207576,-0.90303
-0.198485,0.166667,-0.833333
-0.19697,0.151515,-0.79697
-0.201515,0.136364,-0.731818
-0.207576,0.134848,-0.701515
-0.215152,0.134848,-0.645455
-0.219697,0.137879,-0.618182
-0.224242,0.145455,-0.571212
-0.230303,0.151515,-0.54697
-0.237879,0.165152,-0.506061
-0.240909,0.172727,-0.486364
-0.25,0.189394,-0.451515
-0.257576,0.2,-0.439394
-0.286364,0.222727,-0.422727
-0.306061,0.234848,-0.422727
-0.356061,0.263636,-0.433333
-0.380303,0.277273,-0.445455
-0.433333,0.309091,-0.481818
-0.456061,0.324242,-0.507576
-0.501515,0.357576,-0.572727
-0.524242,0.378788,-0.612121
-0.55303,0.428788,-0.709091
-0.559091,0.463636,-0.760606
-0.55303,0.537879,-0.860606
-0.537879,0.578788,-0.90303
-0.493939,0.659091,-0.966667
-0.460606,0.704545,-0.987879
-0.381818,0.781818,-1.007576
-0.339394,0.813636,-1.004545
-0.266667,0.868182,-0.975758
-0.243939,0.892424,-0.951515
-0.224242,0.933333,-0.893939
-0.219697,0.95,-0.862121
-0.209091,0.971212,-0.804545
-0.20303,0.978788,-0.781818
-0.201515,0.987879,-0.743939
-0.206061,0.990909,-0.728788
-0.233333,0.99697,-0.706061
-0.251515,1.0,-0.69697
-0.30303,0.998485,-0.683333
-0.330303,0.995455,-0.680303
-0.384848,0.984848,-0.686364
-0.409091,0.975758,-0.695455
-0.456061,0.95,-0.727273
-0.475758,0.933333,-0.74697
-0.507576,0.890909,-0.790909
-0.519697,0.865152,-0.813636
-0.534849,0.804545,-0.862121
-0.534849,0.769697,-0.886364
-0.527273,0.687879,-0.927273
-0.518182,0.643939,-0.943939
-0.489394,0.554545,-0.963636
-0.469697,0.507576,-0.968182
-0.431818,0.419697,-0.956061
-0.412121,0.375758,-0.940909
-0.371212,0.293939,-0.892424
-0.345455,0.254545,-0.862121
-0.298485,0.192424,-0.784849
-0.277273,0.169697,-0.742424
-0.236364,0.142424,-0.64697
-0.216667,0.136364,-0.601515
-0.186364,0.139394,-0.515152
-0.175758,0.15,-0.477273
-0.163636,0.175758,-0.407576
-0.163636,0.192424,-0.380303
-0.168182,0.230303,-0.328788
-0.172727,0.251515,-0.307576
-0.186364,0.293939,-0.271212
-0.19697,0.315152,-0.259091
-0.225758,0.357576,-0.239394
-0.25,0.375758,-0.234848
-0.298485,0.412121,-0.237879
-0.324242,0.428788,-0.245455
-0.381818,0.45303,-0.271212
-0.412121,0.463636,-0.290909
-0.480303,0.489394,-0.34697
-0.516667,0.504545,-0.387879
-0.580303,0.54697,-0.489394
-0.60303,0.575758,-0.54697
-0.624242,0.65303,-0.656061
-0.622727,0.69697,-0.704545
-0.589394,0.781818,-0.777273
-0.562121,0.822727,-0.80303
-0.487879,0.89697,-0.827273
-0.45303,0.924242,-0.825758
-0.401515,0.962121,-0.792424
-0.390909,0.974242,-0.768182
-0.371212,0.992424,-0.710606
-0.360606,0.998485,-0.681818
-0.35,1.001515,-0.633333
-0.351515,1.001515,-0.613636
-0.366667,0.995455,-0.586364
-0.380303,0.990909,-0.575758
-0.421212,0.975758,-0.563636
-0.445455,0.963636,-0.560606
-0.49697,0.934848,-0.566667
-0.524242,0.915152,-0.577273
-0.569697,0.871212,-0.604545
-0.587879,0.843939,-0.64697
-0.613636,0.786364,-0.672727
-0.621212,0.754545,-0.719697
-0.624242,0.680303,-0.742424
-0.619697,0.640909,-0.781818
-0.59697,0.560606,-0.8
-0.578788,0.481818,-0.828788
-0.534849,0.440909,-0.840909
-0.507576,0.366667,-0.848485
-0.45,0.328788,-0.84697
-0.392424,0.263636,-0.822727
-0.365152,0.233333,-0.804545
-0.309091,0.180303,-0.75
-0.278788,0.157576,-0.715151
-0.222727,0.130303,-0.636364
-0.198485,0.122727,-0.592424
-0.162121,0.127273,-0.504545
-0.151515,0.139394,-0.462121
-0.134848,0.177273,-0.383333
-0.127273,0.195455,-0.34697
-0.119697,0.25,-0.284848
-0.121212,0.278788,-0.257576
-0.133333,0.34697,-0.215152
-0.142424,0.377273,-0.2
-0.165152,0.437879,-0.181818
-0.177273,0.462121,-0.174242
-0.201515,0.519697,-0.168182
-0.215152,0.540909,-0.168182
-0.243939,0.584848,-0.172727
-0.262121,0.601515,-0.175758
-0.306061,0.642424,-0.192424
-0.331818,0.662121,-0.204545
-0.381818,0.704545,-0.236364
-0.407576,0.724242,-0.256061
-0.460606,0.769697,-0.310606
-0.483333,0.787879,-0.342424
-0.515152,0.828788,-0.404545
-0.524242,0.840909,-0.431818
-0.531818,0.871212,-0.474242
-0.527273,0.880303,-0.487879
-0.519697,0.893939,-0.498485
-0.513636,0.89697,-0.498485
-0.5,0.904545,-0.483333
-0.493939,0.901515,-0.471212
-0.486364,0.886364,-0.437879
-0.487879,0.871212,-0.421212
-0.495455,0.831818,-0.387879
-0.501515,0.807576,-0.375758
-0.515152,0.763636,-0.365152
-0.521212,0.743939,-0.363636
-0.536364,0.701515,-0.366667
-0.54697,0.680303,-0.375758
-0.560606,0.633333,-0.4
-0.568182,0.606061,-0.416667
-0.574242,0.548485,-0.45
-0.574242,0.521212,-0.469697
-0.566667,0.468182,-0.509091
-0.557576,0.440909,-0.525758
-0.534849,0.390909,-0.556061
-0.521212,0.365152,-0.566667
-0.481818,0.315152,-0.578788
-0.460606,0.289394,-0.583333
-0.413636,0.24697,-0.575758
-0.387879,0.225758,-0.566667
-0.334848,0.195455,-0.533333
-0.306061,0.183333,-0.510606
-0.25,0.175758,-0.45303
-0.222727,0.178788,-0.419697
-0.184848,0.207576,-0.348485
-0.177273,0.231818,-0.315152
-0.171212,0.301515,-0.248485
-0.171212,0.342424,-0.221212
-0.171212,0.428788,-0.183333
-0.172727,0.471212,-0.169697
-0.181818,0.556061,-0.162121
-0.190909,0.593939,-0.163636
-0.213636,0.656061,-0.175758
-0.225758,0.677273,-0.180303
-0.25303,0.712121,-0.193939
-0.269697,0.724242,-0.2
-0.316667,0.75,-0.224242
-0.342424,0.762121,-0.237879
-0.39697,0.789394,-0.277273
-0.419697,0.8,-0.29697
-0.45303,0.822727,-0.336364
-0.466667,0.831818,-0.354545
-0.478788,0.851515,-0.381818
-0.478788,0.860606,-0.390909
-0.472727,0.871212,-0.393939
-0.465152,0.869697,-0.387879
-0.45,0.868182,-0.372727
-0.44697,0.859091,-0.360606
-0.45,0.827273,-0.336364
-0.456061,0.80303,-0.324242
-0.472727,0.748485,-0.306061
-0.478788,0.719697,-0.30303
-0.493939,0.672727,-0.304545
-0.501515,0.65303,-0.312121
-0.519697,0.610606,-0.331818
-0.527273,0.587879,-0.345455
-0.530303,0.531818,-0.369697
-0.530303,0.501515,-0.381818
-0.521212,0.44697,-0.407576
-0.515152,0.424242,-0.419697
-0.5,0.383333,-0.440909
-0.489394,0.363636,-0.45
-0.457576,0.321212,-0.457576
-0.440909,0.301515,-0.459091
-0.404545,0.269697,-0.454545
-0.386364,0.257576,-0.445455
-0.35303,0.245455,-0.419697
-0.336364,0.243939,-0.401515
-0.30303,0.254545,-0.357576
-0.287879,0.266667,-0.330303
-0.262121,0.312121,-0.269697
-0.25303,0.345455,-0.240909
-0.24697,0.421212,-0.198485
-0.248485,0.462121,-0.186364
-0.259091,0.55,-0.174242
-0.269697,0.592424,-0.177273
-0.293939,0.675758,-0.193939
-0.307576,0.713636,-0.206061
-0.337879,0.778788,-0.245455
-0.351515,0.806061,-0.268182
-0.377273,0.854545,-0.313636
-0.389394,0.872727,-0.336364
-0.410606,0.904545,-0.383333
-0.418182,0.918182,-0.410606
-0.427273,0.94697,-0.465152
-0.425758,0.959091,-0.492424
-0.410606,0.981818,-0.536364
-0.395455,0.987879,-0.548485
-0.35303,0.998485,-0.545455
-0.327273,0.998485,-0.531818
-0.277273,0.987879,-0.481818
-0.248485,0.972727,-0.448485
-0.186364,0.922727,-0.365152
-0.160606,0.881818,-0.319697
-0.133333,0.789394,-0.237879
-0.131818,0.743939,-0.209091
-0.151515,0.656061,-0.175758
-0.166667,0.619697,-0.165152
-0.19697,0.554545,-0.163636
-0.213636,0.528788,-0.168182
-0.243939,0.484848,-0.180303
-0.259091,0.465152,-0.190909
-0.269697,0.421212,-0.210606
-0.269697,0.398485,-0.219697
-0.266667,0.360606,-0.240909
-0.265152,0.348485,-0.248485
-0.262121,0.333333,-0.259091
-0.257576,0.331818,-0.257576
-0.25,0.334848,-0.251515
-0.243939,0.340909,-0.24697
-0.239394,0.360606,-0.233333
-0.240909,0.372727,-0.227273
-0.245455,0.404545,-0.212121
-0.248485,0.424242,-0.204545
-0.259091,0.469697,-0.192424
-0.266667,0.498485,-0.189394
-0.290909,0.560606,-0.189394
-0.307576,0.590909,-0.193939
-0.343939,0.656061,-0.215152
-0.369697,0.689394,-0.231818
-0.412121,0.742424,-0.271212
-0.433333,0.763636,-0.293939
-0.468182,0.793939,-0.339394
-0.483333,0.807576,-0.360606
-0.506061,0.831818,-0.40303
