roll,xy_angle
0.845321,5.886343
0.847561,6.171595
0.864362,7.400986
0.875808,6.402615
0.875312,5.720252
0.878301,8.209535
0.881305,8.064135
0.886241,7.769741
0.897759,9.66839
0.909376,9.506097
0.920341,9.562254
0.92195,9.68334
0.923458,11.702531
0.936727,12.664163
0.933595,14.80103
0.953032,15.084
0.961633,15.620856
0.967047,17.936861
0.967047,20.890396
0.989704,21.870836
1.012404,27.05258
1.025129,26.382465
1.023113,32.581642
1.033126,38.486694
1.041849,58.19125
1.059739,60.164513
1.07552,77.239914
1.077092,91.493225
1.091015,106.781982
1.101443,113.089142
1.096238,128.343536
1.122215,133.526459
1.132514,137.365326
1.143046,139.436127
1.141136,147.225616
1.153278,144.779449
1.16343,151.798294
1.177642,152.635513
1.189858,153.420639
1.182689,154.618134
1.181222,157.21904
1.182689,158.113464
1.204866,159.379913
1.207093,158.072296
1.217026,158.420349
1.217026,160.460007
1.21434,159.051636
1.229197,161.391449
1.23283,160.963074
1.243783,161.886749
1.241373,162.339966
1.23283,162.670593
1.254819,161.746857
1.260887,163.545395
1.270546,164.168564
1.268258,162.703751
1.277901,165.507095
1.281591,165.507095
1.285289,164.746201
1.294816,165.977005
1.277901,164.372742
1.301193,165.248734
1.312389,165.766556
1.313374,166.086136
1.32085,166.15831
1.330199,165.587326
1.337677,166.587891
1.3423,167.307358
1.353547,166.87767
1.358122,166.89975
1.354373,167.903809
1.353547,166.524857
1.373174,168.023636
1.376952,167.926727
1.381461,167.527725
1.385236,168.228378
1.392802,168.417892
1.392118,168.50943
1.396593,169.080261
1.411806,169.242844
1.416216,169.14798
1.424393,169.860306
1.424393,169.388733
1.431997,169.379272
1.431463,169.443222
1.440119,169.370026
1.447253,169.433487
1.447253,170.083267
1.451077,170.099564
1.442943,169.49437
1.454904,170.208481
1.458734,169.552826
1.466404,170.09819
1.466805,170.850464
1.470244,170.218292
1.489486,170.731888
1.497484,170.886765
1.501596,170.865036
1.51694,171.385162
1.513101,170.941345
1.512879,171.31543
1.520587,171.829666
1.52078,171.908768
1.524444,171.266312
1.536021,171.917694
1.528465,171.917694
1.528302,171.95549
1.528137,171.850204
1.528465,171.850204
1.532309,171.79364
1.547697,171.831833
1.539882,171.413269
1.543745,171.8694
1.563125,172.035812
1.559245,171.878525
1.563095,172.384247
1.570796,171.851151
1.570796,172.352997
1.570796,172.289749
1.570796,171.824219
1.570796,172.289749
1.570796,171.91481
1.559289,171.851151
1.551471,172.35173
1.563095,171.365356
1.5592,172.285095
1.543745,172.701279
1.539762,171.897614
