roll,xy_angle
0.873817,0.696343
0.871312,0.732966
0.854415,0.806739
0.846355,0.550997
0.843444,0.527187
0.821263,0.591452
0.813131,0.470428
0.810455,0.344008
0.796658,-0.136373
0.780151,0.044053
0.774687,0.255837
0.763704,0.302542
0.74703,-0.010267
0.727584,0.240196
0.716551,-0.152677
0.711041,-0.409553
0.697042,0.189065
0.688515,-0.314313
0.679954,-0.021462
0.668273,-0.163305
0.640672,-0.234619
0.627387,-0.069068
0.609111,-0.036338
0.609111,-0.060811
0.586141,0.245195
0.570718,0.027954
0.548141,0.340804
0.532661,0.432056
0.525857,0.182481
0.5025,0.231897
0.478055,0.338223
0.465742,0.032032
0.448159,0.356439
0.430855,0.428087
0.423746,0.075574
0.402681,0.042557
0.388186,-0.069389
0.37941,0.063997
0.361898,0.240674
0.352188,-0.113246
0.335926,0.156212
0.319642,-0.012972
0.315839,-0.113403
0.277602,0.38934
0.278677,-0.169773
0.259713,0.30332
0.230124,0.018577
0.227183,-0.176869
0.207676,0.207582
0.19243,-0.052772
0.180936,-0.207421
0.170722,0.026506
0.165535,-0.193098
0.161672,-0.208152
0.145603,-0.131749
0.141731,0.033726
0.130602,0.049572
0.126203,-0.137869
0.109753,-0.407832
0.110182,-0.153879
0.111488,-0.048831
0.107128,-0.134099
0.107978,-0.101683
0.095345,-0.545652
0.108842,-0.295469
0.082881,-0.257629
0.083207,-0.409895
0.07142,-0.190639
0.066959,-0.138921
0.063301,-0.421049
0.055674,-0.08014
0.059379,-0.443308
0.051127,-0.323479
0.047602,0.008174
0.05634,-0.29829
0.039587,-0.276973
0.039743,-0.190769
0.036096,-0.4622
0.040217,-0.221218
0.028056,-0.341593
0.027945,-0.436068
0.024298,-0.160511
0.020316,-0.471462
0.065888,-0.147506
0.000389,-0.420864
0.00428,-0.494617
-0.00748,-0.651499
-0.003543,-0.646008
0.000394,-0.572194
0.004331,-0.555453
0.000392,-0.679455
0.000395,-0.410448
0.000394,-0.659736
0.000392,-0.582398
0.000394,-0.388489
0.000395,-0.606871
0.000395,-0.652633
0.000394,-0.598688
-0.003543,-0.707664
-0.003558,-0.548336
0.0083,-0.794551
0.004383,-0.514691
0.004314,-0.46162
0.000397,-0.567577
0.004331,-0.75721
0.004331,-0.530694
0.004331,-0.66934
0.004348,-0.342372
0.000394,-0.450343
0.000394,-0.352016
0.004331,-0.431553
0.000392,-0.643296
0.000395,-0.340084
0.000395,-0.391645
0.000394,-0.332973
0.004331,-0.450186
0.000394,-0.392847
0.004331,-0.352726
0.004331,-0.507867
0.000392,-0.661164
0.004331,-0.478846
-0.003558,-0.38157
0.000392,-0.661164
0.000392,-0.381468
0.000394,-0.570917
-0.003558,-0.558595
0.000395,-0.391645
0.004331,-0.581558
0.004331,-0.59959
0.004365,-0.340732
0.000394,-0.421595
-0.003558,-0.410277
0.000394,-0.440282
0.004331,-0.553759
0.004331,-0.519233
0.004331,-0.41277
0.000392,-0.375307
0.004331,-0.431553
0.000397,-0.34869
0.000395,-0.52775
0.004348,-0.448929
0.000394,-0.450343
0.004348,-0.3146
0.004331,-0.402778
-0.003558,-0.648774
0.000395,-0.765119
0.004348,-0.430297
0.000394,-0.332973
0.004348,-0.668076
0.000394,-0.641862
0.000394,-0.440282
0.004365,-0.447639
0.004348,-0.430297
-0.003543,-0.411691
-0.003558,-0.38157
0.000394,-0.421595
0.004331,-0.343963
0.000394,-0.440282
0.004331,-0.431553
0.004331,-0.402778
0.000394,-0.305222
0.000395,-0.420372
0.000395,-0.439067
0.000394,-0.766014
0.004331,-0.64055
0.000395,-0.439067
0.004331,-0.519233
-0.003558,-0.576736
0.004331,-0.431553
0.000394,-0.324374
0.000395,-0.401528
0.004348,-0.621364
0.004348,-0.430297
0.000395,-0.331437
0.000395,-0.717998
0.000395,-0.439067
0.000394,-0.18359
0.000394,-0.641862
0.004331,-0.66934
-0.003543,-0.392792
0.004348,-0.430297
0.0083,-0.497369
0.004348,-0.430297
0.004331,-0.431553
0.000395,-0.420372
0.000395,-0.569373
0.000395,-0.331437
0.004348,-0.430297
0.000394,-0.392847
0.000397,-0.437646
0.000397,-0.37127
0.000395,-0.401528
0.000394,-0.332973
0.000394,-0.392847
0.000394,-0.580568
0.000395,-0.420372
