x,y,z
-0.016667,-0.159091,0.257576
0.034848,-0.181818,0.256061
0.060606,-0.190909,0.254545
0.110606,-0.204545,0.25303
0.134848,-0.209091,0.25
0.178788,-0.215152,0.24697
0.198485,-0.216667,0.245455
0.230303,-0.213636,0.243939
0.243939,-0.215152,0.243939
0.266667,-0.212121,0.245455
0.274242,-0.212121,0.243939
0.280303,-0.210606,0.245455
0.287879,-0.210606,0.243939
0.289394,-0.209091,0.243939
0.287879,-0.212121,0.242424
0.283333,-0.213636,0.240909
0.271212,-0.218182,0.236364
0.262121,-0.222727,0.233333
0.239394,-0.228788,0.225758
0.224242,-0.233333,0.222727
0.187879,-0.233333,0.218182
0.168182,-0.236364,0.215152
0.119697,-0.233333,0.210606
0.092424,-0.228788,0.207576
0.065152,-0.224242,0.206061
0.009091,-0.206061,0.204545
-0.021212,-0.195455,0.20303
-0.078788,-0.165152,0.201515
-0.106061,-0.148485,0.2
-0.157576,-0.109091,0.19697
-0.180303,-0.087879,0.19697
-0.218182,-0.042424,0.198485
-0.231818,-0.019697,0.2
-0.257576,0.024242,0.204545
-0.266667,0.045455,0.206061
-0.277273,0.089394,0.213636
-0.280303,0.107576,0.216667
-0.281818,0.145455,0.222727
-0.281818,0.159091,0.225758
-0.280303,0.172727,0.227273
-0.278788,0.19697,0.231818
-0.277273,0.20303,0.231818
-0.274242,0.215152,0.233333
-0.274242,0.219697,0.233333
-0.272727,0.222727,0.236364
-0.272727,0.222727,0.234848
-0.271212,0.218182,0.236364
-0.271212,0.213636,0.239394
-0.269697,0.201515,0.242424
-0.269697,0.189394,0.242424
-0.271212,0.163636,0.240909
-0.269697,0.14697,0.242424
-0.266667,0.128788,0.240909
-0.259091,0.087879,0.239394
-0.251515,0.066667,0.240909
-0.230303,0.019697,0.239394
-0.213636,-0.006061,0.239394
-0.177273,-0.056061,0.239394
-0.156061,-0.080303,0.237879
-0.10303,-0.125758,0.236364
-0.075758,-0.145455,0.234848
-0.015152,-0.180303,0.233333
0.015152,-0.192424,0.231818
0.075758,-0.210606,0.228788
0.104545,-0.219697,0.227273
0.157576,-0.228788,0.227273
0.178788,-0.230303,0.224242
0.2,-0.231818,0.225758
0.236364,-0.230303,0.225758
0.25303,-0.225758,0.227273
0.278788,-0.221212,0.231818
0.289394,-0.218182,0.233333
0.3,-0.213636,0.234848
0.304545,-0.213636,0.234848
0.304545,-0.213636,0.234848
0.301515,-0.215152,0.234848
0.289394,-0.216667,0.233333
0.278788,-0.221212,0.230303
0.254545,-0.227273,0.228788
0.239394,-0.230303,0.225758
0.221212,-0.225758,0.222727
0.183333,-0.234848,0.222727
0.160606,-0.234848,0.219697
0.113636,-0.230303,0.213636
0.087879,-0.225758,0.210606
0.033333,-0.215152,0.206061
0.006061,-0.207576,0.20303
-0.05,-0.184848,0.198485
-0.078788,-0.169697,0.195455
-0.130303,-0.137879,0.192424
-0.154545,-0.119697,0.189394
-0.198485,-0.072727,0.189394
-0.213636,-0.056061,0.189394
-0.245455,-0.012121,0.190909
-0.259091,0.009091,0.190909
-0.269697,0.030303,0.190909
-0.289394,0.072727,0.189394
-0.295455,0.095455,0.189394
-0.307576,0.134848,0.186364
-0.310606,0.15303,0.184848
-0.315152,0.187879,0.181818
-0.315152,0.20303,0.180303
-0.313636,0.225758,0.178788
-0.313636,0.234848,0.177273
-0.312121,0.248485,0.174242
-0.312121,0.25303,0.172727
-0.313636,0.256061,0.169697
-0.315152,0.254545,0.168182
-0.316667,0.248485,0.166667
-0.319697,0.237879,0.165152
-0.321212,0.228788,0.163636
-0.324242,0.206061,0.160606
-0.327273,0.192424,0.160606
-0.327273,0.160606,0.159091
-0.324242,0.143939,0.159091
-0.319697,0.106061,0.157576
-0.313636,0.084848,0.159091
-0.298485,0.043939,0.160606
-0.287879,0.022727,0.162121
-0.262121,-0.012121,0.165152
-0.24697,-0.037879,0.168182
-0.212121,-0.074242,0.174242
-0.193939,-0.093939,0.178788
-0.174242,-0.110606,0.181818
-0.133333,-0.139394,0.189394
-0.112121,-0.151515,0.195455
-0.071212,-0.171212,0.20303
-0.05,-0.180303,0.206061
-0.013636,-0.192424,0.213636
0.00303,-0.19697,0.216667
0.033333,-0.206061,0.225758
0.04697,-0.207576,0.228788
0.069697,-0.206061,0.236364
0.080303,-0.209091,0.239394
0.095455,-0.204545,0.248485
0.10303,-0.204545,0.251515
0.112121,-0.198485,0.257576
0.116667,-0.2,0.260606
0.119697,-0.198485,0.265152
0.124242,-0.195455,0.271212
0.125758,-0.192424,0.272727
0.125758,-0.187879,0.277273
0.124242,-0.184848,0.280303
0.119697,-0.181818,0.284848
0.116667,-0.178788,0.286364
0.112121,-0.175758,0.290909
0.109091,-0.174242,0.290909
0.106061,-0.171212,0.292424
0.106061,-0.172727,0.292424
0.107576,-0.172727,0.292424
0.109091,-0.172727,0.293939
0.112121,-0.172727,0.293939
0.118182,-0.169697,0.298485
0.122727,-0.169697,0.3
0.131818,-0.169697,0.301515
0.139394,-0.168182,0.304545
0.154545,-0.168182,0.307576
0.162121,-0.166667,0.307576
0.180303,-0.163636,0.312121
0.190909,-0.162121,0.313636
0.212121,-0.157576,0.316667
0.224242,-0.156061,0.316667
0.251515,-0.151515,0.315152
0.266667,-0.15,0.315152
0.29697,-0.142424,0.312121
0.315152,-0.140909,0.309091
0.333333,-0.139394,0.306061
0.372727,-0.131818,0.293939
0.393939,-0.127273,0.284848
0.437879,-0.119697,0.263636
0.460606,-0.116667,0.25
0.507576,-0.107576,0.216667
0.528788,-0.10303,0.193939
0.571212,-0.093939,0.143939
0.590909,-0.090909,0.115152
0.619697,-0.077273,0.051515
0.633333,-0.077273,0.018182
0.65,-0.062121,-0.048485
0.65303,-0.059091,-0.081818
0.654545,-0.05303,-0.140909
0.65303,-0.043939,-0.168182
0.65,-0.039394,-0.190909
0.639394,-0.034848,-0.233333
0.633333,-0.033333,-0.248485
0.621212,-0.034848,-0.280303
0.613636,-0.033333,-0.29697
0.598485,-0.034848,-0.327273
0.589394,-0.036364,-0.340909
0.566667,-0.040909,-0.369697
0.554545,-0.045455,-0.383333
0.528788,-0.05303,-0.407576
0.515152,-0.059091,-0.418182
0.486364,-0.072727,-0.436364
0.471212,-0.081818,-0.442424
0.456061,-0.090909,-0.448485
0.425758,-0.109091,-0.454545
0.409091,-0.118182,-0.456061
0.383333,-0.137879,-0.456061
0.371212,-0.148485,-0.454545
0.348485,-0.166667,-0.445455
0.337879,-0.175758,-0.442424
0.321212,-0.193939,-0.428788
0.312121,-0.201515,-0.421212
0.298485,-0.215152,-0.401515
0.293939,-0.228788,-0.390909
0.286364,-0.245455,-0.368182
0.283333,-0.25303,-0.354545
0.283333,-0.260606,-0.322727
0.280303,-0.277273,-0.304545
0.281818,-0.284848,-0.286364
0.284848,-0.29697,-0.24697
0.286364,-0.301515,-0.227273
0.290909,-0.310606,-0.192424
0.292424,-0.313636,-0.174242
0.292424,-0.315152,-0.143939
0.290909,-0.318182,-0.128788
0.284848,-0.321212,-0.10303
0.278788,-0.322727,-0.090909
0.269697,-0.321212,-0.068182
0.260606,-0.321212,-0.056061
0.248485,-0.321212,-0.031818
0.240909,-0.321212,-0.019697
0.233333,-0.318182,-0.006061
0.216667,-0.313636,0.021212
0.210606,-0.310606,0.036364
0.198485,-0.301515,0.068182
0.190909,-0.29697,0.084848
0.180303,-0.286364,0.115152
0.174242,-0.281818,0.127273
0.165152,-0.269697,0.15303
0.159091,-0.265152,0.163636
0.148485,-0.25303,0.181818
0.145455,-0.25303,0.187879
0.136364,-0.245455,0.19697
0.133333,-0.245455,0.2
0.133333,-0.243939,0.2
0.133333,-0.245455,0.2
0.134848,-0.245455,0.198485
0.142424,-0.248485,0.19697
0.14697,-0.25,0.198485
0.162121,-0.248485,0.2
0.171212,-0.25,0.201515
0.193939,-0.25,0.201515
0.206061,-0.251515,0.201515
0.236364,-0.25303,0.19697
0.254545,-0.251515,0.193939
0.290909,-0.248485,0.187879
0.312121,-0.248485,0.183333
0.356061,-0.240909,0.174242
0.377273,-0.237879,0.169697
0.398485,-0.231818,0.165152
0.440909,-0.218182,0.15303
0.462121,-0.209091,0.143939
0.50303,-0.190909,0.127273
0.522727,-0.180303,0.115152
0.556061,-0.160606,0.089394
0.572727,-0.148485,0.075758
0.601515,-0.125758,0.045455
0.613636,-0.113636,0.028788
0.634848,-0.087879,-0.007576
0.642424,-0.078788,-0.025758
0.656061,-0.056061,-0.066667
0.660606,-0.04697,-0.087879
0.662121,-0.024242,-0.130303
0.662121,-0.022727,-0.15303
0.662121,-0.016667,-0.175758
0.65303,-0.006061,-0.218182
0.64697,-0.00303,-0.239394
0.631818,-0.001515,-0.281818
0.624242,-0.001515,-0.301515
0.60303,-0.004545,-0.337879
0.592424,-0.007576,-0.351515
0.569697,-0.015152,-0.381818
0.559091,-0.019697,-0.392424
0.534849,-0.031818,-0.415152
0.522727,-0.039394,-0.424242
0.495455,-0.048485,-0.443939
0.481818,-0.054545,-0.45303
0.468182,-0.059091,-0.459091
0.45,-0.077273,-0.463636
0.442424,-0.084848,-0.463636
0.425758,-0.1,-0.463636
0.418182,-0.106061,-0.465152
0.40303,-0.124242,-0.460606
0.395455,-0.133333,-0.457576
0.381818,-0.15303,-0.44697
0.374242,-0.162121,-0.440909
0.359091,-0.178788,-0.425758
0.35303,-0.193939,-0.418182
0.334848,-0.213636,-0.4
0.325758,-0.221212,-0.390909
0.316667,-0.230303,-0.375758
0.293939,-0.24697,-0.368182
0.283333,-0.25303,-0.360606
0.262121,-0.265152,-0.340909
0.25303,-0.271212,-0.328788
0.234848,-0.281818,-0.304545
0.225758,-0.287879,-0.292424
0.207576,-0.29697,-0.263636
