x,y,z
-0.093939,-0.337879,0.140909
-0.095455,-0.336364,0.137879
-0.09697,-0.337879,0.136364
-0.1,-0.337879,0.133333
-0.098485,-0.339394,0.131818
-0.1,-0.340909,0.128788
-0.09697,-0.342424,0.127273
-0.089394,-0.342424,0.124242
-0.084848,-0.343939,0.122727
-0.066667,-0.343939,0.122727
-0.054545,-0.343939,0.121212
-0.034848,-0.345455,0.116667
-0.021212,-0.345455,0.112121
-0.001515,-0.345455,0.107576
0.018182,-0.342424,0.101515
0.027273,-0.343939,0.095455
0.043939,-0.339394,0.087879
0.051515,-0.342424,0.081818
0.066667,-0.340909,0.072727
0.075758,-0.342424,0.065152
0.093939,-0.340909,0.05303
0.10303,-0.340909,0.04697
0.124242,-0.339394,0.033333
0.134848,-0.339394,0.028788
0.157576,-0.334848,0.018182
0.183333,-0.330303,0.010606
0.19697,-0.330303,0.004545
0.222727,-0.322727,-0.004545
0.236364,-0.322727,-0.007576
0.263636,-0.315152,-0.016667
0.277273,-0.312121,-0.021212
0.301515,-0.30303,-0.031818
0.315152,-0.298485,-0.036364
0.337879,-0.287879,-0.045455
0.35,-0.283333,-0.048485
0.369697,-0.272727,-0.056061
0.378788,-0.256061,-0.062121
0.393939,-0.256061,-0.065152
0.407576,-0.245455,-0.069697
0.412121,-0.240909,-0.072727
0.421212,-0.234848,-0.077273
0.424242,-0.233333,-0.078788
0.430303,-0.228788,-0.081818
0.431818,-0.228788,-0.081818
0.430303,-0.228788,-0.083333
0.430303,-0.231818,-0.083333
0.422727,-0.237879,-0.078788
0.412121,-0.245455,-0.072727
0.404545,-0.25303,-0.069697
0.386364,-0.265152,-0.062121
0.375758,-0.274242,-0.054545
0.34697,-0.287879,-0.043939
0.333333,-0.295455,-0.037879
0.298485,-0.307576,-0.021212
0.278788,-0.312121,-0.015152
0.236364,-0.321212,0.0
0.212121,-0.325758,0.006061
0.163636,-0.330303,0.018182
0.137879,-0.331818,0.027273
0.080303,-0.328788,0.031818
0.022727,-0.322727,0.039394
-0.004545,-0.318182,0.043939
-0.062121,-0.301515,0.05
-0.087879,-0.295455,0.05303
-0.140909,-0.274242,0.059091
-0.165152,-0.262121,0.062121
-0.212121,-0.236364,0.063636
-0.236364,-0.221212,0.065152
-0.280303,-0.190909,0.065152
-0.324242,-0.15,0.065152
-0.342424,-0.136364,0.063636
-0.377273,-0.093939,0.060606
-0.393939,-0.072727,0.057576
-0.421212,-0.031818,0.05
-0.431818,-0.009091,0.043939
-0.45303,0.033333,0.034848
-0.462121,0.054545,0.027273
-0.475758,0.095455,0.015152
-0.480303,0.113636,0.007576
-0.487879,0.14697,-0.007576
-0.490909,0.162121,-0.015152
-0.495455,0.187879,-0.030303
-0.495455,0.206061,-0.042424
-0.498485,0.210606,-0.04697
-0.5,0.221212,-0.051515
-0.498485,0.219697,-0.05303
-0.498485,0.219697,-0.05
-0.498485,0.215152,-0.048485
-0.498485,0.20303,-0.042424
-0.498485,0.193939,-0.040909
-0.49697,0.169697,-0.034848
-0.49697,0.156061,-0.030303
-0.492424,0.119697,-0.022727
-0.481818,0.080303,-0.012121
-0.475758,0.054545,-0.009091
-0.456061,0.006061,0.004545
-0.442424,-0.021212,0.010606
-0.406061,-0.074242,0.022727
-0.384848,-0.10303,0.030303
-0.331818,-0.159091,0.042424
-0.3,-0.183333,0.04697
-0.231818,-0.231818,0.05303
-0.193939,-0.251515,0.05303
-0.112121,-0.289394,0.04697
-0.025758,-0.315152,0.040909
0.016667,-0.325758,0.031818
0.106061,-0.336364,0.015152
0.148485,-0.337879,0.004545
0.228788,-0.328788,-0.016667
0.266667,-0.321212,-0.025758
0.331818,-0.298485,-0.045455
0.359091,-0.286364,-0.05303
0.404545,-0.259091,-0.063636
0.422727,-0.245455,-0.069697
