roll,xy_angle
0.529729,3.183157
0.535405,2.921513
0.540506,3.007102
0.556547,2.889193
0.562201,2.753211
0.558923,2.690564
0.574435,2.488343
0.570167,3.002567
0.587641,2.400336
0.58985,2.556139
0.600808,2.596048
0.601964,2.810113
0.597518,2.722509
0.593305,3.206175
0.600781,3.018078
0.611743,2.374825
0.609255,2.95856
0.611762,3.233489
0.61481,3.360893
0.63051,3.049559
0.63152,2.710754
0.618025,3.298178
0.623675,2.991079
0.64738,2.642309
0.652977,2.475495
0.636234,3.312507
0.638577,3.452991
0.652051,3.114691
0.662377,2.600645
0.685536,2.116405
0.678487,2.346282
0.663096,3.546319
0.671983,3.296559
0.658984,3.273316
0.697867,2.485836
0.669668,3.149362
0.663765,3.578714
0.66442,3.560942
0.664234,3.886284
0.699468,3.251569
0.699441,3.234261
0.710551,2.714784
0.732251,2.500357
0.723961,2.355967
0.719021,3.103299
0.713536,3.245497
0.7029,3.561775
0.671788,4.259547
0.705878,3.647474
0.730227,2.991297
0.741131,2.825447
0.727931,3.852195
0.747047,3.242013
0.74475,3.507284
0.769152,2.372332
0.757943,2.91732
0.742086,3.560354
0.720635,4.648021
0.772067,2.89409
0.766531,3.42636
0.76381,3.538942
0.780416,3.232833
0.785783,3.289818
0.761361,3.814192
0.777745,3.896277
0.76951,3.966389
0.817002,3.009179
0.810789,3.535254
0.813754,3.672315
0.816442,3.332561
0.850429,2.738724
0.862101,2.600016
0.853249,2.775101
0.813106,4.433253
0.821771,4.250429
0.867914,2.566863
0.861444,3.697559
0.844457,3.955679
0.858869,3.247422
0.84993,3.703563
0.835345,4.164772
0.858467,3.475824
0.888023,2.868962
0.900725,2.070035
0.835666,3.985438
0.830352,4.352007
0.827606,4.266985
0.827251,3.614327
0.867878,2.613267
0.818851,4.10832
0.783636,4.942921
0.813605,3.64468
0.807827,4.012888
0.805151,4.504553
0.819114,3.877043
0.816256,3.500187
0.824413,4.116509
0.816103,4.805826
0.821357,4.418828
0.887455,3.095574
0.89596,2.935754
0.898439,3.049374
0.886221,3.903189
0.906462,3.596022
0.932574,2.871059
0.930176,2.621012
0.920671,3.238789
0.900282,4.005792
0.9082,3.985117
0.891064,4.242124
0.917887,3.794917
0.937159,3.42108
0.919932,3.833255
0.916083,4.689733
0.931759,3.690435
0.954619,3.454275
0.941919,3.626061
0.954721,3.507694
0.987705,2.335032
0.950836,3.98871
0.941919,3.795101
0.92936,4.949636
0.918458,4.510242
0.92147,4.510891
0.932611,4.571339
0.989894,2.569403
0.95604,3.956164
0.961414,4.122384
0.996376,3.156745
1.000885,2.749693
0.975636,3.770335
0.975508,4.090076
0.972326,4.220287
0.984351,3.729627
0.92714,5.571811
0.969114,4.835742
0.974523,4.574719
0.983537,4.466386
1.007243,3.83249
1.026778,3.842038
1.051096,3.037913
1.035403,4.601446
1.054984,3.627475
1.061807,3.648457
1.051583,4.243373
1.056908,4.982605
1.058822,4.54591
1.070805,5.55492
1.083104,4.040196
1.077682,4.648383
1.083104,4.938509
1.100477,5.384432
1.100593,3.945201
1.083179,5.574591
1.109264,5.218185
1.119773,4.976423
1.12492,5.20561
1.147842,4.630809
1.152911,4.477424
1.181272,4.700258
1.224722,3.433245
1.235674,2.8182
1.203626,4.308964
1.189153,5.35653
1.212244,4.155319
1.299632,2.45818
1.30508,2.261157
1.310889,4.220902
1.279931,3.840556
1.250449,4.218389
1.218635,6.594925
1.294881,4.752933
1.322112,2.257441
1.31465,3.515651
1.276233,5.520414
1.293777,4.732449
1.318421,3.760028
1.339198,3.225101
1.326933,3.843801
1.299632,4.94372
1.291188,6.120542
1.356054,3.263521
1.351327,2.702633
1.324115,4.741205
1.319392,5.021946
1.334247,2.719415
1.386519,2.959414
1.37505,3.713965
1.342884,4.011939
1.370467,4.132397
1.418364,1.090551
1.36732,3.523273
1.382362,1.962254
1.402609,4.970304
1.437779,2.452327
1.397899,3.093135
1.401883,4.130149
1.422362,3.632331
1.473065,1.200148
1.410221,4.309606
1.421366,0.902352
1.425483,2.629379
1.437779,3.403991
1.453057,1.063422
1.488595,1.261504
1.472429,-2.38652
1.436791,0.5752
1.441461,2.480706
1.460803,1.047378
1.491004,-6.655266
1.46856,0.891178
1.46856,0.948319
1.499987,1.549383
1.51927,-4.697338
1.487984,0.004859
1.515408,-3.215603
1.544515,-23.095634
1.52609,-10.947021
1.503538,-1.126112
1.51927,-3.935532
1.523126,-4.542606
1.507424,-1.723958
1.528367,-16.921108
1.55489,-85.831093
1.545945,-14.067797
1.561962,-23.56023
1.519068,-3.552099
