pitch,xy_angle
0.220624,5.795956
0.196103,6.21844
0.204499,6.488461
0.229096,7.178168
0.25082,7.438689
0.255565,8.124268
0.290129,8.562293
0.297849,9.095206
0.318179,9.568445
0.32701,9.750855
0.33578,9.803486
0.346949,10.397938
0.363653,10.731518
0.371097,10.86768
0.383717,11.341725
0.377794,11.934146
0.380686,11.652283
0.40252,12.155082
0.422872,12.34539
0.425223,12.999816
0.424653,13.312151
0.449976,13.926905
0.501443,14.269519
0.513457,15.015257
0.525707,15.44114
0.55287,15.782686
0.557531,16.443357
0.583821,16.710135
0.610251,16.918938
0.634203,17.598688
0.669275,17.810726
0.684234,18.328583
0.695418,18.792652
0.707514,19.106522
0.72977,19.253748
0.741134,19.53838
0.741643,19.884871
0.774428,20.108624
0.796637,20.706329
0.782833,20.979904
0.81024,20.952026
0.864019,21.504707
0.857631,22.009672
0.888186,22.400934
0.955323,22.719904
0.97518,22.824991
0.979615,23.232252
0.988318,23.405628
1.026452,23.551641
1.04055,23.979622
1.103724,24.031088
1.100166,24.455475
1.084593,24.506521
1.117711,24.582991
1.159789,24.582991
1.156246,24.562542
1.152682,24.869585
1.105491,24.848106
1.168026,24.970873
1.267702,25.17989
1.17308,25.413231
1.239182,25.255465
1.261414,25.280624
1.251528,25.330923
1.242942,25.330923
1.23801,25.232628
1.239153,25.232628
1.20258,25.330923
1.18172,25.25769
1.197537,25.381184
1.235617,25.332848
1.258949,25.407917
1.288637,25.713579
1.362732,25.434418
1.350286,25.656752
1.399223,25.657364
1.399223,25.402624
1.328629,25.707129
1.359546,25.633186
1.374898,25.502172
1.402223,25.724779
1.442012,25.518997
1.426073,25.543943
1.442012,25.618732
1.480695,25.545012
1.484575,25.693413
1.519201,25.644308
1.518999,25.43026
1.530637,25.43026
1.552612,25.323231
1.553032,25.140635
1.545536,25.275244
1.561346,25.300219
1.556936,25.398319
1.549191,25.143316
1.561346,25.266171
1.560571,25.266171
1.555745,25.096077
1.555264,25.011021
1.54038,25.218357
1.534557,24.853245
1.555264,25.061184
1.556827,25.036102
1.552469,24.964199
1.545536,24.903574
1.52584,24.989212
1.531505,24.903574
1.543726,25.00082
1.529546,24.878414
1.499364,24.624004
1.556827,24.903574
1.536831,24.928703
1.514573,24.720251
1.504919,25.02602
1.536831,24.695023
1.540261,24.80691
1.545437,24.878414
1.529384,24.878414
1.546627,25.1588
1.565229,25.183912
1.553032,24.903574
1.531505,25.086266
1.52584,24.964199
1.561309,25.243361
1.555686,24.878414
1.494761,24.903574
1.502306,24.695023
1.509802,24.624004
1.522294,25.036102
1.533881,24.878414
1.485065,25.241079
1.555745,25.241079
1.561346,25.250269
1.543726,25.140635
1.534416,25.405247
1.506737,25.307125
1.496135,25.46216
1.530793,25.487144
1.509802,25.495295
1.494464,25.56889
1.46065,25.527031
1.449012,25.600693
1.388869,25.607571
1.329612,25.582653
1.263529,25.432911
1.285036,25.225653
1.3183,25.282751
1.299015,25.330923
1.209345,24.996159
1.121153,24.920252
1.129999,24.818876
1.096771,24.486326
1.069056,24.455475
1.043131,24.269295
1.05127,24.07548
1.040563,23.861393
1.002331,23.525703
0.981857,23.405628
0.982897,23.258326
0.975296,23.16478
0.976334,23.109457
0.965365,23.056963
0.923539,22.680117
0.927426,22.462599
0.925067,22.436302
0.909197,22.501669
0.891863,22.062838
0.877696,21.815565
0.852475,21.567324
0.818682,21.371847
0.816008,21.210575
0.802267,20.7834
0.779966,20.221598
0.749622,20.194271
0.727424,19.912321
0.710439,19.510782
0.707488,19.253748
0.703615,18.913475
0.681107,18.670633
0.674256,18.123587
0.614098,17.861589
0.589248,17.5487
0.584881,16.947487
0.57081,16.947487
0.57057,16.290886
0.5508,15.840563
0.536521,15.738895
0.531696,15.599984
0.508053,14.903468
0.492239,14.660306
0.485413,14.163258
0.467399,13.956435
0.449451,13.247281
0.406118,12.995648
0.377866,12.124201
0.370515,12.064091
0.374012,11.432464
0.340571,11.238455
0.323219,10.731518
0.315763,10.452676
0.29131,9.750855
0.274272,9.772722
0.281804,8.995472
0.275251,8.850199
0.257749,8.202359
0.239439,7.881494
0.246189,7.425886
0.233425,6.948586
0.214113,6.479407
0.177619,6.019865
0.153167,5.100868
0.137162,4.771318
0.116886,4.138885
0.121202,3.906545
0.102642,3.176428
0.098346,3.176428
0.089835,2.761696
0.073743,2.242354
0.070707,2.031462
0.076102,2.031462
0.077328,1.796382
0.064151,1.5291
0.039273,1.122305
0.035651,0.586634
0.031849,0.382813
0.031722,0.633241
0.004076,0.382813
0.028119,0.36627
0.027789,0.382813
0.012001,0.146762
0.015982,0.36627
0.008142,0.601253
0.012095,0.162499
0.008143,0.097968
0.016046,0.399492
0.012142,0.162499
